Services,Ride_Date,Ride_status,Source_pickup,Destination,Duration,Ride_id,Customer_id,Driver_id,Distance,Ride_charge,Misc_charge,Total_fare,Payment_method
Cab,15-07-2024,completed,Ashok Nagar Boulevard,Begur Viewpoint,110,RD5026758144838213,C164,D041,49.44,762.05,37.05,799.1,Amazon Pay
Auto,05-07-2024,completed,BTM Layout Square,Sanjay Nagar Bay,70,RD4320550637356079,C007,D036,28.06,60.56,14.7,75.26,Paytm
Auto,23-07-2024,cancelled,Varthur Road,Sonnenahalli Road,34,RD6550222859302935,C071,D028,32.17,0,0,0,Payment Cancelled
Cab,24-06-2024,completed,Anjanapura Arcade,Hosur Road Hills,46,RD4203974126634767,C058,D042,3.69,70.8,28.59,99.39,QR scan
Cab,15-07-2024,completed,Jakkur Commons,Bellandur Meadows,25,RD1704221483332374,C189,D041,15.55,74.41,7.98,82.39,Amazon Pay
Auto,02-07-2024,completed,VV Puram Viewpoint,Vasanth Nagar District,14,RD1707937086291164,C174,D036,44.83,615.34,45.94,661.28,QR scan
Cab,23-07-2024,completed,Kalena Agrahara Hills,Domlur Enclave,19,RD8932520847982750,C140,D041,4.48,799.46,16.61,816.07,GPay
Parcel,18-07-2024,completed,Whitefield Run,Koramangala 6th Block Complex,75,RD7212618270424407,C152,D058,33.21,911.82,39.59,951.41,QR scan
Parcel,08-08-2024,completed,Kasturi Nagar Park,Subbanna Palya Quay,53,RD6800870698954921,C009,D055,43.5,485.49,44.83,530.32,Amazon Pay
Bike,10-07-2024,completed,Varthur 1st Stage,Balagere Vista,48,RD7609107787472588,C024,D007,23.19,831.35,3.84,835.19,QR scan
Auto,03-08-2024,completed,Chikkagubbi Arc,Dasarahalli Extension,62,RD7166399390225853,C060,D033,23.06,821.64,30.12,851.76,QR scan
Cab,08-07-2024,completed,Bikasipura Circle,Koramangala 6th Block Valley,98,RD4142333992945122,C155,D040,27.2,189.27,31.69,220.96,Paytm
Cab,10-08-2024,completed,BTM Layout Pier,Begur Alcove,55,RD2695237335870962,C144,D043,10.35,203.21,49.67,252.88,Paytm
Parcel,15-08-2024,cancelled,Chikka Banaswadi Pass,Gottigere District,20,RD5469761458243222,C184,D060,3.41,0,0,0,Payment Cancelled
Bike,22-07-2024,cancelled,Banaswadi Township,Ashok Nagar Cutting,25,RD5393944099986390,C180,D018,9.74,0,0,0,Payment Cancelled
Bike,24-07-2024,completed,Banaswadi Cut,Nagawara Circle,30,RD3553098817102960,C108,D008,12.53,121.99,20.44,142.43,Paytm
Bike,26-07-2024,completed,Koramangala 4th Block 4th Stage,Babusapalya Landing,91,RD1738409398639562,C115,D019,60.4,640.81,21.98,662.79,Paytm
Auto,28-06-2024,completed,Kaggalipura Complex,Chikka Banaswadi Close,101,RD2556479787511132,C072,D037,90.27,731.73,29.25,760.98,Amazon Pay
Auto,08-08-2024,completed,Ashok Nagar Cross,Chikkabellandur Quay,84,RD9194317975370275,C002,D037,18.01,697.78,27.34,725.12,GPay
Parcel,08-08-2024,completed,BTM 2nd Stage Passage,Billekahalli Complex,98,RD6220933925757273,C041,D060,37.45,373.16,42.75,415.91,Amazon Pay
Parcel,22-07-2024,completed,Kothnur Extension,Thanisandra Hills,105,RD5215088272605593,C109,D057,19.52,964.05,1.07,965.12,Paytm
Auto,03-07-2024,completed,Yelahanka New Town Extension,Lingarajapuram 1st Stage,69,RD6952270765505684,C072,D027,33.66,310.68,30.07,340.75,GPay
Cab,08-07-2024,completed,Malleshwaram Nagar,Hebbal Kempapura Lane,59,RD6438660058509461,C056,D052,38.85,967.81,49.42,1017.23,GPay
Auto,01-07-2024,completed,Naganathapura Boulevard,Billekahalli Commons,40,RD3388474531845606,C087,D026,24.66,904.72,13.63,918.35,GPay
Bike,21-06-2024,completed,Hulimavu Pointe,Chokkanahalli Road,119,RD3605650229478070,C024,D013,40.7,269.69,40.27,309.96,GPay
